Timestamp,Subject (i.e. PBPL),Course Name (i.e. Housing Policy),Course Number (i.e. PBPL 177),Discussion Section,Professor Name,Quarter/Year Taken (i.e. Spring 2025),Upper- or Lower-Division,In-Person / Hybrid / Online,Textbook Required?,Reading Load,Workload,"On average, how demanding was this course?","If you want to explain your answer, describe the type of work (readings, writing, exams, group work, etc.)",Overall Difficulty (1–5 scale),Professor Review,Would You Recommend This Class?,"Any Survival Tips? (Ex: “start readings early,” “go to section,” ""take detailed notes"")"
2/11/2026 13:36:19,POSC,Political Economy: International Immigration,POSC 136s,Yes,Steven Liao ,Spring 2025,Upper Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Light,Moderate,Manageable weekly workload,"Two essays total, no exams",3,Nice and willing to talk ,Yes,Go to discussion
2/11/2026 13:46:57,LNST,Latin America: Quest for development and democracy,LNST 142s,Yes,Miguel Carreras,Spring 2025,Upper Division,Hybrid,No,Light,Light,Minimal work outside of class,Only essays,2,He does not answer emails. ,Yes,
2/11/2026 14:06:29,POSC,Government and politics in Western Europe,POSC 155s,Yes,Bowler Shaun,Fall 2025,Upper Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Light,Light,Manageable weekly workload,,2,Eccentric ,Yes,
2/11/2026 15:55:53,POSC,Labor and Globalization,POSC 138s,Yes,Marissa Brookes,Fall 2025,Upper Division,In Person,No,Moderate,Moderate,Manageable weekly workload,Just readings and small discussions about it. The discussion section and studyguide made the tests appear easy.,3,She was very approachable and kinda funny. Made it interesting.8/10,Yes,Just be able to explain each concept on studyguide
2/11/2026 16:03:07,POSC,Contemporary Democratic Theory,POSC 117s,Yes,John Medearis,Fall 2025,Upper Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Moderate,Light,Time-consuming but doable,Readings and be prepared to discuss a lot and write for your exams. They’re all bluebook exams where you just write.,3,"Good, he kinda talks too much and sometimes beats around the bush but he knows what he’s taking about and is pretty approachable. 6.7/10",No,Just talk a lot in discussion so the TA is polite with grading.
2/11/2026 16:05:56,PBPL,Race and Law Enforcement,PBPL 185,No,Ben Newman,Spring 2024,Upper Division,In Person,No,Light,Light,Minimal work outside of class,"Honestly just do your assignment at the end of the quarter, no final, and show up to class.",1,10/10 nice guy,Yes,Just go to class if you want
2/11/2026 19:55:08,Physics,The Violent Universe,PHYS 006,Yes,"Canalizo, Gabriela",Winter 2025,Lower Division,In Person,No,Light,Light,Manageable weekly workload,"Work consisted of weekly quizzes in discussion sessions, typically two questions based on the content discussed within the lecture material of that week. Attend the lecture, as there is PollEV for attendance; however, PollEV was not based on ""correctness,' as the professor will have the class try to answer truthfully, but then give the right answer ONLY verbally in class. If you get a question wrong, she will know you weren't in the lecture, and you won't receive attendance for the day. I feel like that's reasonable when compared to other courses. There is a midterm and a final--but through the grapevine, there is no more final. If you have questions lmk, I have notes for the WHOLE class with answers. TDLR-Easy A.",1,She is the goat fr love her.,Yes,Just go to class and listen.
2/16/2026 14:31:10,PHYS,The Origins,PHYS 037,Yes,Bahram Mobasher,Fall 2025,Lower Division,In Person,"Yes but don’t buy it (online, pdf, not necessary)",Light,Light,Manageable weekly workload,"There is one assignment a week. The midterm and final questions are mainly from the homework, but some are from the lecture. ",2,He is super nice and wants to help his students. He curves the final a lot to help you get the best grade. Super passionate about the subject. ,Yes,"Go to lecture and take notes on what he is saying, not on the slides. Both lecture and discussion are not mandatory. I never went to discussion, the TA just goes over the homework from last week. "
2/16/2026 14:35:30,Ethnic Studies,Popular Musics of the World,ETST 014,Yes,Liz Przybylski,Fall 2025,Lower Division,In Person,No,Light,Moderate,Manageable weekly workload,"This class is super easy. There are weekly homework assignments that you have to make podcasts for. There are assigned readings before each lecture, but you don't have to do them. ",1,The professor is nice and cares about the subject. ,Yes,"The TA gives a study guide before every test, which is exactly like the test, so just study that. Discussion and lecture are mandatory. "
2/16/2026 14:44:22,Political Science,World Politics,POSC 020,Yes,Paul D'anieri,Fall 2025,Lower Division,In Person,Yes,Moderate,Light,Time-consuming but doable,"There is a good amount of reading, but it is manageable. There are no homework assignments. The midterms and final are essay questions only. Either pay attention in lecture or read the textbook. ",3,He's chill but the lecture is boring. ,Yes,Go to section and participate. 
2/17/2026 13:48:32,ANTH,Cultural Anthropology,001,Yes,Worku Nida,Winter 2026,Lower Division,Online,No,Moderate,Moderate,Minimal work outside of class,"2 Critical Thinking Assignments, 3 writing assignments, & reading",2,He is a very nice man and very considerate of his students time. He sends weekly reminders of what assignments are due and when they are due.,Yes,Go to discussion!
2/17/2026 16:32:38,HIST,Religious Myths and Rituals,020,Yes,Nathan Womak,Fall 2024,Lower Division,In Person,Yes,Moderate,Moderate,Manageable weekly workload,Mostly reading books/graphic novels; some short essays but nothing crazy,2,"Approachable, not too strict",Yes,Nothing really
2/17/2026 16:38:49,PBPL,Case Studies in Public Policy,101,No,Robynn Cox,Winter 2025,Upper Division,In Person,No,Heavy,Moderate,Time-consuming but doable,"Lots of readings, some essays and a group project",4,"She basically just read off the slides, wasn't very helpful, kinda rude. If you can, avoid taking this class with her.",Only with certain professors,Try your best to keep up with the readings
